Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
DET,Jaden Ivey,Malik Beasley,Simone Fontecchio,Ron Holland II,Isaiah Stewart,156,17,-10.7,37,112.8,36,55.0%,10,18.6%,92,36.8%,32,15.7,12,123.5,15,59.6%,12,10.5%,97,18.1%,58,15.7
SAC,De'Aaron Fox,Keon Ellis,DeMar DeRozan,Keegan Murray,Domantas Sabonis,156,80,+18.0,95,132.7,76,60.2%,94,9.6%,92,37.2%,32,15.8,43,114.6,19,58.3%,41,13.4%,57,26.0%,28,19.7
CLE,Donovan Mitchell,Ty Jerome,Sam Merrill,Georges Niang,Evan Mobley,155,20,-8.1,17,105.8,2,45.7%,99,7.7%,35,23.7%,38,16.4,47,113.9,36,55.7%,71,15.8%,67,24.3%,4,27.5
CLE,Donovan Mitchell,Max Strus,Caris LeVert,Georges Niang,Evan Mobley,152,2,-26.2,6,99.3,9,48.9%,42,14.5%,4,15.4%,27,14.9,7,125.5,29,56.6%,18,11.0%,53,26.7%,79,13.2
SAC,De'Aaron Fox,Keon Ellis,Malik Monk,DeMar DeRozan,Domantas Sabonis,151,73,+12.5,82,127.8,85,62.3%,88,10.6%,23,21.3%,85,23.8,39,115.3,35,55.8%,86,17.3%,16,32.4%,16,22.5
NYK,Cameron Payne,Miles McBride,Josh Hart,Mikal Bridges,Karl-Anthony Towns,150,85,+22.7,93,131.3,85,62.3%,72,12.0%,71,30.3%,83,23.1,65,108.6,52,54.3%,88,17.9%,54,26.5%,38,18.6
MIL,Damian Lillard,AJ Green,Taurean Prince,Giannis Antetokounmpo,Brook Lopez,150,93,+29.1,73,123.3,65,58.3%,58,13.3%,20,20.5%,78,22.6,95,94.2,100,41.8%,5,9.0%,90,20.7%,23,20.7
LAC,James Harden,Kris Dunn,Norman Powell,Kawhi Leonard,Ivica Zubac,149,42,-0.2,35,112.8,42,55.3%,34,15.4%,48,25.7%,47,17.6,53,112.9,30,56.2%,53,14.3%,64,25.0%,93,9.6
ATL,Trae Young,Dyson Daniels,Bogdan Bogdanovic,DeAndre Hunter,Onyeka Okongwu,149,31,-3.7,69,121.5,14,51.0%,49,14.1%,99,43.0%,47,17.9,8,125.2,5,63.0%,64,15.2%,84,21.5%,10,23.6
HOU,Fred VanVleet,Jalen Green,Amen Thompson,Jabari Smith Jr.,Alperen Sengun,148,37,-2.0,80,126.4,34,54.8%,85,10.8%,100,45.7%,9,11.0,7,128.4,10,60.4%,6,9.5%,71,23.6%,61,15.0
PHI,Tyrese Maxey,Eric Gordon,Kelly Oubre,Guerschon Yabusele,Justin Edwards,148,12,-14.4,27,110.1,44,55.6%,55,13.5%,15,19.2%,7,10.4,10,124.5,3,64.4%,97,21.1%,3,36.0%,5,26.3
PHI,Tyrese Maxey,Caleb Martin,Kelly Oubre,Paul George,Guerschon Yabusele,148,89,+25.0,90,130.4,58,57.5%,95,9.5%,77,31.8%,35,16.3,73,105.4,45,54.8%,88,17.6%,59,25.7%,50,16.8
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Obi Toppin,Myles Turner,147,51,+3.7,49,116.3,33,54.7%,63,12.9%,31,23.3%,88,25.2,54,112.6,91,47.5%,14,10.5%,10,33.3%,33,19.0
MEM,Scotty Pippen,Desmond Bane,Jaylen Wells,Brandon Clarke,Jaren Jackson,147,20,-8.9,16,105.4,27,53.1%,32,15.6%,64,28.9%,11,12.2,44,114.4,31,56.2%,46,13.7%,24,30.7%,94,9.5
PHX,Tyus Jones,Devin Booker,Royce O'Neale,Kevin Durant,Jusuf Nurkic,147,97,+33.9,92,130.6,97,65.9%,71,12.2%,3,14.5%,18,13.6,91,96.7,94,46.4%,25,11.9%,95,19.0%,80,13.0
ORL,Jalen Suggs,Kentavious Caldwell-Pope,Franz Wagner,Goga Bitadze,Wendell Carter,146,96,+33.5,88,129.5,96,65.6%,11,18.5%,85,34.0%,84,23.8,92,96.0,47,54.7%,99,22.0%,86,21.2%,75,13.6
WAS,Carlton Carrington,Malcolm Brogdon,Kyshawn George,Corey Kispert,Jonas Valanciunas,145,27,-5.2,42,114.5,39,55.1%,19,17.2%,61,28.4%,60,19.5,23,119.7,19,58.5%,21,11.6%,80,22.2%,82,12.5
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Luke Kornet,143,62,+8.5,10,104.2,13,50.8%,23,16.8%,76,31.6%,25,14.7,94,95.7,88,48.0%,95,20.1%,19,31.5%,94,9.5
OKC,Shai Gilgeous-Alexander,Cason Wallace,Luguentz Dort,Jalen Williams,Chet Holmgren,143,60,+7.7,21,108.4,43,55.5%,89,10.5%,1,13.8%,9,11.0,88,100.7,95,45.9%,77,16.1%,22,30.9%,58,15.7
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Aaron Wiggins,Jalen Williams,Isaiah Hartenstein,142,92,+28.9,82,127.5,74,59.8%,80,11.3%,59,27.9%,79,22.8,90,98.6,56,53.9%,95,19.7%,92,19.7%,71,13.9
POR,Scoot Henderson,Shaedon Sharpe,Toumani Camara,Deni Avdija,Deandre Ayton,141,69,+11.1,78,125.5,68,58.6%,27,16.3%,77,31.7%,74,21.9,44,114.4,4,63.6%,97,21.2%,38,28.8%,67,14.4
LAL,Austin Reaves,Cameron Reddish,Rui Hachimura,LeBron James,Anthony Davis,141,14,-12.8,29,110.6,62,57.8%,48,14.2%,24,22.2%,12,12.3,13,123.4,37,55.7%,43,13.5%,4,35.5%,81,12.9
DET,Cade Cunningham,Malik Beasley,Tim Hardaway Jr.,Tobias Harris,Isaiah Stewart,141,70,+11.3,33,112.1,47,56.3%,16,17.7%,4,15.6%,65,20.2,87,100.7,93,46.7%,29,12.2%,72,23.3%,21,21.1
PHI,Tyrese Maxey,Eric Gordon,Kelly Oubre,Paul George,Guerschon Yabusele,139,43,0.0,51,116.5,65,58.3%,13,18.0%,22,21.0%,85,24.3,34,116.5,53,54.2%,46,13.7%,9,33.8%,60,15.2
POR,Scoot Henderson,Anfernee Simons,Toumani Camara,Deni Avdija,Deandre Ayton,136,74,+12.7,67,120.6,11,50.4%,33,15.4%,86,34.2%,97,29.9,67,107.9,18,58.6%,98,21.6%,41,28.0%,7,25.7
PHX,Tyus Jones,Devin Booker,Ryan Dunn,Kevin Durant,Nick Richards,136,24,-6.2,44,114.7,48,56.4%,22,16.9%,89,34.9%,60,19.5,20,120.9,70,51.4%,12,10.4%,8,34.2%,64,14.5
NYK,Jalen Brunson,Miles McBride,Mikal Bridges,OG Anunoby,Jericho Sims,136,84,+22.1,71,122.8,55,57.3%,52,14.0%,61,28.4%,64,20.2,86,100.7,96,45.5%,82,16.9%,41,28.0%,20,21.3
TOR,Ja'Kobe Walter,Ochai Agbaji,RJ Barrett,Scottie Barnes,Jakob Poeltl,136,82,+19.8,71,122.8,89,62.9%,28,16.2%,84,33.9%,18,13.3,80,103.0,93,46.7%,40,13.3%,79,22.4%,29,19.5
MIN,Anthony Edwards,Nickeil Alexander-Walker,Jaden McDaniels,Julius Randle,Naz Reid,133,14,-13.8,15,105.3,7,48.3%,36,15.0%,78,31.9%,88,25.2,26,119.0,61,52.9%,43,13.5%,39,28.6%,41,18.0
ATL,Kobe Bufkin,Bogdan Bogdanovic,DeAndre Hunter,Jalen Johnson,Onyeka Okongwu,132,31,-3.7,20,107.6,19,51.7%,18,17.4%,51,26.2%,74,21.7,58,111.3,47,54.7%,79,16.5%,36,29.0%,54,16.1
TOR,Ochai Agbaji,Gradey Dick,RJ Barrett,Scottie Barnes,Jakob Poeltl,132,8,-19.1,6,99.2,49,56.5%,1,21.2%,41,25.0%,3,8.3,28,118.3,42,55.1%,15,10.7%,91,20.0%,17,22.0
CLE,Darius Garland,Caris LeVert,Sam Merrill,Georges Niang,Jarrett Allen,132,53,+5.3,86,128.8,92,64.0%,93,9.8%,13,18.9%,89,25.2,12,123.5,11,60.3%,62,15.2%,34,29.3%,20,21.6
MIN,Donte DiVincenzo,Nickeil Alexander-Walker,Josh Minott,Julius Randle,Naz Reid,132,87,+23.7,81,127.3,93,64.2%,18,17.4%,30,23.2%,45,17.2,78,103.6,90,47.6%,45,13.6%,63,25.3%,15,22.6
OKC,Shai Gilgeous-Alexander,Isaiah Joe,Luguentz Dort,Jalen Williams,Isaiah Hartenstein,131,86,+22.9,68,120.6,45,55.7%,95,9.2%,24,22.2%,49,18.0,91,97.7,91,47.3%,55,14.5%,77,22.5%,29,19.6
WAS,Jordan Poole,Kyshawn George,Bilal Coulibaly,Kyle Kuzma,Jonas Valanciunas,131,1,-31.8,1,88.5,0,39.0%,35,15.3%,50,25.9%,66,20.3,21,120.3,11,59.9%,52,14.1%,93,19.6%,34,18.9
SAS,Chris Paul,De'Aaron Fox,Devin Vassell,Harrison Barnes,Victor Wembanyama,130,38,-1.7,55,117.7,38,55.0%,92,10.0%,49,25.8%,52,18.5,24,119.4,9,61.7%,67,15.5%,16,32.2%,99,5.0
CHA,LaMelo Ball,Nick Smith Jr.,Josh Green,Miles Bridges,Mark Williams,129,15,-11.6,24,109.3,21,52.2%,60,13.2%,72,30.4%,50,18.3,19,120.9,23,57.6%,31,12.4%,68,24.2%,55,16.0
DET,Cade Cunningham,Jaden Ivey,Malik Beasley,Tobias Harris,Jalen Duren,128,81,+19.4,53,117.2,64,58.3%,14,18.0%,72,30.5%,76,22.0,90,97.8,91,47.3%,68,15.6%,85,21.4%,13,23.2
SAS,Tre Jones,Stephon Castle,Julian Champagnie,Keldon Johnson,Victor Wembanyama,127,78,+15.0,54,117.3,30,54.1%,75,11.8%,7,16.4%,92,26.1,83,102.3,98,42.7%,65,15.3%,9,33.8%,45,17.7
MIA,Terry Rozier,Tyler Herro,Haywood Highsmith,Nikola Jovic,Bam Adebayo,126,66,+9.6,39,113.5,11,50.4%,47,14.3%,74,31.0%,93,26.5,77,103.9,82,48.8%,57,14.7%,44,27.8%,93,9.6
CHI,Josh Giddey,Coby White,Ayo Dosunmu,Matas Buzelis,Nikola Vucevic,126,0,-37.0,4,98.4,22,52.3%,11,18.3%,11,18.0%,6,10.1,4,135.4,5,63.1%,18,11.0%,0,38.6%,30,19.5
NYK,Jalen Brunson,Miles McBride,Josh Hart,Mikal Bridges,Karl-Anthony Towns,125,80,+18.8,96,134.4,67,58.5%,90,10.4%,34,23.6%,99,33.0,38,115.6,45,54.8%,79,16.4%,10,33.3%,2,31.4
ORL,Cole Anthony,Kentavious Caldwell-Pope,Caleb Houstan,Tristan daSilva,Goga Bitadze,125,42,-0.0,7,100.8,2,45.7%,90,10.4%,60,28.0%,2,7.0,86,100.8,90,47.9%,85,17.2%,6,34.7%,97,7.6
CHI,Josh Giddey,Coby White,Ayo Dosunmu,Patrick Williams,Nikola Vucevic,125,3,-25.1,39,113.6,66,58.3%,90,10.4%,17,19.3%,26,14.8,1,138.7,1,68.1%,27,12.1%,15,32.6%,49,16.8
OKC,Shai Gilgeous-Alexander,Cason Wallace,Isaiah Joe,Luguentz Dort,Jalen Williams,124,93,+29.9,62,119.4,35,54.9%,97,8.9%,18,20.0%,77,22.1,99,89.4,99,42.1%,96,20.3%,55,26.4%,7,25.7
CHA,LaMelo Ball,Josh Green,Brandon Miller,Miles Bridges,Grant Williams,124,27,-5.4,92,130.6,99,68.6%,41,14.5%,10,18.0%,44,17.1,3,136.1,1,71.2%,58,14.8%,76,22.7%,61,15.1
BKN,Ben Simmons,Keon Johnson,Cameron Johnson,Noah Clowney,Nicolas Claxton,123,9,-17.3,19,107.3,22,52.3%,20,17.1%,67,29.7%,51,18.3,10,124.6,6,62.7%,92,18.9%,4,35.3%,42,17.9
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Naz Reid,123,36,-2.1,40,113.8,17,51.3%,88,10.6%,18,20.3%,78,22.3,38,115.9,36,55.8%,71,15.9%,27,30.4%,95,9.1
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Naz Reid,Rudy Gobert,122,57,+6.9,49,116.4,32,54.4%,1,23.0%,93,37.3%,39,16.8,62,109.4,59,53.3%,85,17.3%,33,29.5%,9,24.3
LAC,James Harden,Kris Dunn,Norman Powell,Amir Coffey,Ivica Zubac,121,99,+47.7,99,143.0,98,68.3%,31,15.7%,52,26.5%,81,22.9,95,95.3,93,47.2%,98,21.3%,27,30.3%,27,19.8
MIA,Terry Rozier,Tyler Herro,Haywood Highsmith,Kevin Love,Bam Adebayo,121,28,-5.0,3,97.5,4,46.8%,38,14.9%,51,26.2%,18,13.6,81,102.5,86,48.1%,61,15.0%,71,23.4%,35,18.7
CHA,Vasilije Micic,Seth Curry,Josh Green,Miles Bridges,Mark Williams,119,45,+0.8,23,109.2,20,51.8%,57,13.4%,21,20.6%,23,14.5,65,108.4,76,50.9%,42,13.4%,41,28.1%,66,14.4
CHI,Josh Giddey,Ayo Dosunmu,Zach LaVine,Patrick Williams,Nikola Vucevic,118,12,-15.9,11,104.2,46,55.8%,45,14.4%,7,16.7%,48,17.9,22,120.2,33,55.9%,90,18.3%,14,32.7%,43,17.8
WAS,Jordan Poole,Kyshawn George,Bilal Coulibaly,Corey Kispert,Alexandre Sarr,118,71,+11.6,63,119.5,79,60.4%,8,18.6%,39,24.5%,91,26.0,67,107.9,85,48.5%,30,12.3%,30,29.8%,11,23.5
CHI,Josh Giddey,Ayo Dosunmu,Zach LaVine,Julian Phillips,Nikola Vucevic,117,52,+4.8,74,123.9,100,71.3%,2,20.5%,28,23.1%,66,20.2,25,119.1,65,52.6%,1,7.0%,64,25.0%,71,13.9
DAL,Luka Doncic,Kyrie Irving,Naji Marshall,Klay Thompson,Daniel Gafford,117,41,-0.6,56,117.9,86,62.5%,73,12.0%,7,16.7%,55,18.8,27,118.6,51,54.4%,1,7.1%,58,25.8%,96,8.8
NYK,Jalen Brunson,Miles McBride,Mikal Bridges,OG Anunoby,Precious Achiuwa,117,77,+14.6,78,125.6,24,52.8%,82,11.1%,56,27.4%,96,29.4,60,111.0,54,54.1%,92,18.6%,18,31.7%,88,10.9
PHI,Tyrese Maxey,Caleb Martin,Kelly Oubre,Paul George,Joel Embiid,117,17,-10.6,7,100.9,5,47.8%,54,13.7%,19,20.4%,98,32.6,57,111.5,23,57.5%,100,26.5%,2,38.2%,87,11.0
HOU,Fred VanVleet,Amen Thompson,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,116,94,+31.1,77,125.0,78,60.4%,92,10.3%,15,19.2%,79,22.8,97,93.9,97,43.3%,96,20.2%,39,28.6%,8,24.7
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Julius Randle,Naz Reid,116,36,-2.1,34,112.1,30,54.1%,53,13.8%,7,16.7%,87,24.5,46,114.2,39,55.6%,94,19.5%,55,26.4%,32,19.2
MEM,Luke Kennard,Desmond Bane,Jaylen Wells,Jaren Jackson,Zach Edey,114,33,-3.3,94,132.5,94,64.3%,51,14.0%,93,37.8%,29,15.2,3,135.7,2,66.7%,8,9.8%,67,24.5%,97,7.4
DEN,Russell Westbrook,Christian Braun,Julian Strawther,Michael Porter,Nikola Jokic,114,100,+50.0,100,150.0,76,60.2%,98,7.9%,98,41.1%,89,25.4,89,100.0,80,49.5%,91,18.4%,36,29.0%,89,10.6
DEN,Jamal Murray,Christian Braun,Julian Strawther,Aaron Gordon,Nikola Jokic,114,88,+24.1,98,142.1,94,64.4%,38,14.9%,98,42.2%,98,31.7,30,118.0,57,53.8%,33,12.6%,50,27.1%,24,20.0
