Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
POR,Scoot Henderson,Shaedon Sharpe,Toumani Camara,Jerami Grant,Deandre Ayton,107,58,+7.0,45,115.0,24,52.7%,8,18.7%,99,44.2%,90,25.5,66,107.9,72,51.2%,36,12.9%,98,17.8%,2,30.5
TOR,Davion Mitchell,Ochai Agbaji,Gradey Dick,Scottie Barnes,Jakob Poeltl,107,19,-9.5,12,104.7,21,52.1%,4,19.6%,89,35.2%,26,14.9,46,114.2,78,50.5%,29,12.3%,35,29.1%,1,31.9
BKN,D'Angelo Russell,Keon Johnson,Ziaire Williams,Jalen Wilson,Nicolas Claxton,106,38,-1.8,25,109.4,47,55.9%,59,13.2%,15,19.2%,21,14.0,59,111.2,68,51.9%,28,12.1%,28,30.0%,84,11.7
WAS,Carlton Carrington,Kyshawn George,Bilal Coulibaly,Corey Kispert,Jonas Valanciunas,105,8,-19.0,57,118.1,80,60.7%,3,20.0%,47,25.6%,93,26.2,2,137.1,3,64.6%,13,10.5%,8,34.1%,53,16.2
DET,Jaden Ivey,Malik Beasley,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,105,6,-20.0,14,104.8,18,51.7%,6,19.0%,69,30.0%,82,23.0,9,124.8,18,58.8%,24,11.9%,6,34.7%,98,6.9
CHI,Josh Giddey,Coby White,Lonzo Ball,Ayo Dosunmu,Nikola Vucevic,104,11,-16.1,20,107.7,35,54.9%,56,13.5%,33,23.5%,17,13.2,11,123.8,9,61.5%,17,10.9%,43,27.9%,98,7.3
WAS,Jordan Poole,Carlton Carrington,Kyshawn George,Bilal Coulibaly,Richaun Holmes,103,23,-6.5,22,108.7,46,55.9%,41,14.6%,34,23.6%,2,7.4,40,115.2,64,52.6%,64,15.2%,7,34.5%,14,23.2
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Pascal Siakam,Thomas Bryant,103,60,+7.8,75,124.3,66,58.3%,99,7.8%,80,32.6%,91,25.6,34,116.5,38,55.7%,67,15.5%,30,29.8%,30,19.3
NYK,Cameron Payne,Miles McBride,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,102,98,+39.1,99,144.1,93,64.0%,97,8.8%,86,34.6%,6,10.3,74,105.0,72,51.1%,37,13.0%,87,21.2%,65,14.4
BKN,D'Angelo Russell,Keon Johnson,Ziaire Williams,Cameron Johnson,Nicolas Claxton,101,4,-22.9,0,85.1,1,40.1%,15,17.8%,84,33.9%,5,9.4,66,108.1,56,53.9%,39,13.1%,74,22.9%,83,12.2
BOS,Payton Pritchard,Derrick White,Jayson Tatum,Sam Hauser,Luke Kornet,101,91,+28.8,76,124.8,53,56.9%,85,10.9%,39,24.5%,8,10.9,92,96.0,89,47.9%,74,16.0%,66,24.6%,100,4.2
HOU,Jalen Green,Amen Thompson,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,101,65,+9.0,15,105.0,3,46.2%,29,15.8%,95,38.9%,73,21.5,93,95.9,86,48.2%,10,10.2%,100,9.8%,70,14.1
LAL,Austin Reaves,Max Christie,Dorian Finney-Smith,LeBron James,Anthony Davis,101,94,+32.6,80,126.7,99,70.5%,15,17.8%,1,12.5%,82,23.1,96,94.2,92,47.2%,34,12.6%,85,21.4%,78,13.3
LAL,Austin Reaves,Max Christie,Rui Hachimura,LeBron James,Jaxson Hayes,100,57,+6.5,94,132.0,91,63.4%,84,11.0%,66,29.5%,28,15.1,8,125.5,21,57.7%,4,8.8%,41,28.0%,52,16.5
POR,Scoot Henderson,Shaedon Sharpe,Toumani Camara,Jerami Grant,Donovan Clingan,100,10,-17.0,4,99.0,39,55.1%,3,20.0%,11,18.2%,38,16.7,37,116.0,59,53.2%,37,13.0%,10,33.3%,40,18.3
DEN,Russell Westbrook,Jamal Murray,Christian Braun,Michael Porter,DeAndre Jordan,100,47,+2.0,18,107.0,48,56.3%,2,21.0%,41,25.0%,7,10.3,74,105.0,73,51.1%,83,17.0%,32,29.6%,80,13.0
MIA,Tyler Herro,Jaime Jaquez Jr.,Duncan Robinson,Haywood Highsmith,Bam Adebayo,100,5,-22.6,4,99.0,7,48.3%,22,17.0%,60,28.3%,43,17.0,17,121.6,53,54.1%,2,7.2%,44,27.8%,77,13.4
OKC,Shai Gilgeous-Alexander,Isaiah Joe,Luguentz Dort,Jalen Williams,Chet Holmgren,100,49,+3.0,68,121.0,40,55.2%,72,12.0%,57,27.5%,31,15.5,30,118.0,8,61.9%,74,16.0%,60,25.6%,51,16.7
